jfuntszz,Nag trend ang Bastos.  UPLB #Duterte https://t.co/Uea8Dgr9Di
pinaymomspeaks,Yung livestreamn ng UPLB parang gobyerno. Putul putol. Palpak. Labo. #PHVoteDuterte #DuterteVisitsUPLB
GeraldEmld,"BAKIT MAY PUMAPALAKPAK SA ""FAMILY PLANNING"" WTF WTF UPLB!!! Sana hindi UPLB students yun :((((((("
meRegs,Any live stream po ng visit ni mayor Duterte s UPLB? or replay video?
kylemcruz,#Duterte finished speaking at #UPLB #elections #philippines 2016 #helicopter style @ Universityﾅ https://t.co/JgLDGxTk7E
noraiturn,"Ambiribabur. Im missing the Q&amp;A! Oy nga tao sa UPLB, livetweet pls! #DuterteVisitsUPLB"
TheNameIsPierre,"#PHVoteDuterte
 
https://t.co/Tdx83Phsdc"
bienmalonzo,@dorellaperlas @UPLBOfficial https://t.co/wZ56HazE06
sheenahtanPH,"UPLB ITC, ANYARE? :( #DuterteVisitsUPLB https://t.co/KFc53X9CoY"
sheenahtanPH,UPLB ITC!
ymndnd_,UPLB stream pls?!
trishamacas,"After speech of over 1 hr, Duterte takes a break before answering the questions of the UPLB students #Eleksyon2016 https://t.co/oS07IxepS4"
ERIC_E_PEREZ,"I should be in DL Umali Hall, UPLB right now #DuterteVisitsUPLB"
tshewang,Nagoya U sets up satellite campus at UPLB | University of the Philippines System Website https://t.co/N5enwYIGkc
KeithLiam,@imyhelventura https://t.co/oWiQjLtmUU
isko_algorithm,@johnebora @iam4federalism haha wala eh. malaki ang galit ng mulat na UPLB students kay Binay. #DuterteVisitsUPLB
MalibogPromdi,@a7inchesburat sana masagot niya lahat ng tanong ng mga matatalinong estudyante ng UPLB
sheenahtanPH,"UPLB-ITC, AYUSIN NIYO!!!!!"
heycheeel,Ay naker. Haha! Aabangan ko na ang mga headline about UPLB <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
giyuh,@u_knees https://t.co/GWJV7zDObl
eyNoel,Duterte in UPLB.
RanvilleDL,"I'm at University of the Philippines Los Ba�os (UPLB) in Los Ba�os, Laguna https://t.co/OUQHKRIcq5"
MaeeSimpao,Visit https://t.co/F2fMdEEPLO  for Duterte at UPLB. Huhu isa po 'ko sa naglayout ng web <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #plug
JojoMalig,Ano reaction ng UPLB students? Pumapalakpak? https://t.co/76GhKIEnYw
chie_koelemento,#Uplb #Cpark https://t.co/ndi8xWdinP
ennahor,"ECON GRADS! Looking for Project Assistant I, will work on the Impact Assessment of selected PCAARRD Publications. Based in UPLB @UPAEMS"
ennahor,"ATTENTION ECON GRADS! Looking for Project Assistant I, will work on the Impact Assessment of selected PCAARRD Publications. Based in UPLB."
ennahor,"Based in DSC, CDC, UPLB. Administrative and account work is the basic job. Msg me if you're interested!"
cedric_castillo,"Pres candidate Rody Duterte in a UPLB forum says Filipinos ""in agony and in despair"". @gmanewsbreaking https://t.co/Ka5OlpS5bR"
rickrick888,"WATCH: UPLB students cracking up at #PHVoteDuterte's jokes. https://t.co/dNiFK9t8nF | via piaranada #DuterteVisitsUPLB

ﾗ Rappler (rapplerﾅ"
anondrogynous,#DuterteVisitsUPLB livestream: https://t.co/BfelCtL6fY
RXRadio1,"Hey everyone! Join #TheDailySurvey with Lexy + R1 Rica of UPLB and tweet us @RX931 #IAmAMonster ALSO,  happy birthday @thewayofjay!"
JhowiZaldivar,"UPLB, sana hindi natin tinatawanan ang candid statements n'ya na mas marami pa sa 1000 ang napapatay n'ya ano? #DuterteVisitsUPLB"
bienmalonzo,uplb live streaming.
UPLBOfficial,#UPLB PolSci Zoilo Belano introduced Mayor Rodrigo Duterte #DuterteVisitsUPLB
rapplerdotcom,WATCH: UPLB students cracking up at #PHVoteDuterte's jokes. https://t.co/rOyhARWVsR | via @piaranada #DuterteVisitsUPLB
du30movement,Livestream here: Duterte LIVE : https://t.co/YICS4IG0In #PHVoteDuterte #DuterteVisitsUPLB #DuterteForPresident #Duterte2016  #PiliPinas
pinaymomspeaks,@awesomege https://t.co/e4UFnkEYlF
UPLBOfficial,#UPLB GS Dean Jose Camacho Jr. introduced UP sa Halalan 2016 #DuterteVisitsUPLB
piaranada,UPLB students cracking up at Duterte's jokes. #PHVoteDuterte https://t.co/TdvSYYBQx5
moki_doki,@anondrogynous https://t.co/6YXJIMoNxL
gallilleo,@moki_doki https://t.co/ndjqrHBvbm
TOFUandME,@mojoco19 https://t.co/4hs43eNmML
piaranada,"Duterte jokes to UPLB students: You men, if you want a selfie, don't stick your face to mine. #PHVoteDuterte https://t.co/60cSKwCSzs"
angenavo,Ano kyang magiging headline ng ABS-CBN mamaya about UPLB Hmmm
piaranada,"Duterte to UPLB students: Mar Roxas can't handle stress, can't handle governance. I'm sorry. #PHVote https://t.co/kTBcsqdVpe"
IsabelleLapuz,"UPLB peeps, kayo na bahala. &lt;3 #DuterteVisitsUPLB"
piaranada,"Duterte to UPLB students: Corruption is dragging us down, it's eaten every aspect of governance. #PHVote https://t.co/J9j8X0oOyf"
leafatimaysabel,@uplbperspective can't see anything on UPLB Live Streaming site :(
twit2millions,@rolette2079 Duterte Visits UPLB Hash Tag  ==&gt;  #DuterteVisitsUPLB
LordieZeus,@rehinamei Putang ina baka magkaron ng support from uplb yung hunghang na yun hahahahaha <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
joycastcant,Kung may gustong manood kaso di na pinapasok sa DL: https://t.co/FlVpmqilQ6
georgiadlcrz,Listening to the presidential candidate guesting in UPLB today and my decision still stands firm  https://t.co/Ld5KkHMNSd
dandandandannn,@chipsrohoy https://t.co/Gx5kzVe6Q8
LordieZeus,So many Du30 supporters and haters on my feed. Might as well grab some chips while reading the reactions of uplb peeps. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #DuterteVisitsUPLB
mjbchavez,Duterte's in UPLB today to talk stuff. Ang lakas mo po at nag gm ka pa sa lahat ng estudyante. #DuterteVisitsUPLB https://t.co/iQSJg3S1N3
johnebora,"Dear UPLB, pakisunod si Mar Roxas please."
cedieRking,"@kurarisa22 too busy listening to his speech, di ako makapag-share ng thoughts. hahaha. see it here https://t.co/2l78dYj1T7"
leafatimaysabel,Can't see a thing on UPLB Live Streaming :((((
pinaymomspeaks,The sorry state of technology at UPLB?
twit2millions,@RonPielago Duterte Visits UPLB Hash Tag  ==&gt;  #DuterteVisitsUPLB
senyorita_alexa,Duterte and Cayetano  @ UPLB.
du30movement,Duterte LIVE : https://t.co/iUvmCWBzlC https://t.co/wDPyiKBFpV
kimemerut,"Nakaka lost of words ung pila sa UPLB.. Yan ang behind lagi sa ""SURVEY"" #VoteDuterteCayetano"
trishamacas,This was how the UPLB students reacted when Duterte arrived in DL Umali Auditorium #Eleksyon2016 https://t.co/NY71de4Tfx
sheenahtanPH,"Don't worry, Digong, UPLB is a land of putang ina esp during enlistment. 

#DuterteVisitsUPLB #PHVoteDuterte"
fearlesslightb,"PH Tlist who's interested in listening to Duterte's speech, here's the livestream https://t.co/bGqyzozeDt"
PaulaMac_,go uplb people gisahin nyo si du30 tapos hintayin natin feature nito sa 24 oras / tv patrol :'------)
pieskustojo,@joshuaaaacapili tapos nagchi-cheer yung UPLB students wtfffffff
imcjthegreat,kelan kaya pupunta si Miriam sa UPLB?
amyslayer,"What the hell, UPLB. https://t.co/vdMvzfqRzh"
a7inchesburat,Duterte's in UPLB. Hmmmm. Let's see kung anong mababalita later or tom.
PaulaMac_,ayoko i-track yung tag about duterte in uplb baka masuka ako sa lahat ng iqu-quote nila
imcjthegreat,"@HELLKlN ""yung mga gabriela galit sa akin, sinabi ko, pumila kayo, hahalikan ko kayo isa-isa"" may livestream haha https://t.co/fxBiFbmhR8"
oolalai,Anyare kay Duterte at UPLB??
UPLBConyos,Wonder what UPLB-bashing headlines will be up tomorrow. Lol.
rizaaalyn,hello ano yung tungkol sa babae bakit nagcheer ang uplb
twit2millions,@KnowWellA Duterte Visits UPLB Hash Tag  ==&gt;  #DuterteVisitsUPLB
janesonrants,"dear UPLB students, these statements aren't funny. can you please not? ugh.
#DuterteVisitsUPLB"
GeraldEmld,Okay how is UPLB tolerating this sexism????
twit2millions,Duterte Visits UPLB   ==&gt;  #DuterteVisitsUPLB https://t.co/gvuyaUzDVS
soveryawecsharm,@PHLNACHRSTNE https://t.co/9WldkHvc76
BogartTheGreat,UPLB Students line up for a forum with Mayor #Duterte and Sen.ﾅ https://t.co/ifQsAZeKUb
twit2millions,@GEGNetwork Duterte Visits UPLB  ==&gt;  #DuterteVisitsUPLB
rwchrstne,Andito si Duterte sa UPLB habang ako hanggang live stream nalang sa apartment dahil sa papampam na Physics exer na to HAHHAHAHA
rehinamei,#DuterteVisitsUPLB @sephcham @chuckiedreyfus you might be interested to watch https://t.co/ji6YJuXObc :)
twit2millions,@Marlou_MM Duterte Visits UPLB  ==&gt;  #DuterteVisitsUPLB
Duterte4Pres16,#DuterteVisitsUPLB livestream link #PHVoteDuterte https://t.co/FtGWH84uyz
twit2millions,Duterte Visits UPLB Hash Tag  ==&gt;  #DuterteVisitsUPLB https://t.co/1VibZXalzN
Dianne_OT,https://t.co/S9dQQebvzb #DuterteVisitsUPLB #PHVoteDuterte https://t.co/mMZsOh6Qg3
khristinyxcz,Bring Back Sponge Cola At Laguna ! UPLB @yaelyraz
rinaxrhae,Duterte and Cayetano in uplb! #DuterteVisitsUPLB
milkybabilonia,"Well, I trust UPLB students will be able to trust the tough questions #DuterteVisitsUPLB #PHVoteDuterte"
joanrinos,https://t.co/J4E0p03JvL manood
trishamacas,"Duterte now talking to UPLB students. He is expected to discuss governance, transparency, social transformation https://t.co/ix4KCY6RT8"
NoelNavasca,"Retweeted Noel Navasca (@NoelNavasca):

Live stream... #DU30 in UPLB https://t.co/ILKK4Y1SLj https://t.co/Q9FJvo39ta"
MaanClarino88,"Ongoing #DuterteVisitsUPLB For live streaming, visit https://t.co/odNux1Vmi9"
cutechikkadoll,"Crowd chanting ""DUTERTE! DUTERTE!"" as Mayor gets on stage. Salamat, UPLB! #DuterteVisitsUPLB"
HooverMouth360,@reedbertrandt in UPLB? Hehe
marywhat__,DUTERTE in UPLB!!
daleygaga,Tries to ignore the whooping Duterte-bias of UPLB. *shudders*
coco_malvin,Such a warm welcome from UPLB studs. #DuterteVisitsUPLB
jdavaldez,@AmmanessiJoy https://t.co/a9Al9Zf3F1
NoelNavasca,Live stream... #DU30 in UPLB https://t.co/ILKK4Y1SLj
ABSCBNNews,The UPLB crowd warmly welcomes presidential aspirant Rody Duterte. #Halalan2016 | via @ernie_manio https://t.co/H9S9sGsFZv
GEGNetwork,"CONTEXT: In a POSC 1 univ-wide mock poll in UPLB, Duterte is second, following Miriam. https://t.co/dYDVGd9Fux #DuterteVisitsUPLB"
GuienEPGarma,"CONTEXT: In a POSC 1 univ-wide mock poll in UPLB, Duterte is second, following Miriam. https://t.co/razmZhhcuL #DuterteVisitsUPLB"
TOFUandME,@foonjai https://t.co/4hs43eNmML pero bawal sa mobile
pinaymomspeaks,"Retweeted Allen Lemence (@allenlemence):

Just in case, here's the link for the live streaming of... https://t.co/bGTNd6qNqr"
allenlemence,"Just in case, here's the link for the live streaming of #DuterteVisitsUPLB: https://t.co/uhqW4iiT7j"
pinaymomspeaks,Thank you UPLB! #DuterteVisitsUPLB #PHVoteDuterte https://t.co/V1gwdD6j1x
pinaymomspeaks,"Omg, thank you UPLB for respecting and loving #PHVoteDuterte #DuterteVisitsUPLB"
Duterte4Pres16,#PHVoteDuterte touchdown at UPLB https://t.co/paVvSOyhOl
zkmaralit,@janinaayyy Legit 'to guys! https://t.co/DNChCIRKqy #DuterteVisitsUPLB
akosileann,@deowened @pinaymomspeaks yes. visit https://t.co/3ZO3vYBzck
GEGNetwork,#DuterteVisitsUPLB is live on https://t.co/bt7DJ39zti. #PHVoteDuterte #PiliPinas2016
GuienEPGarma,#DuterteVisitsUPLB is live on https://t.co/rkq2uxklMM. #PHVoteDuterte #PiliPinas2016
chichaychi,@pinaymomspeaks eto po https://t.co/P0cB2O4J4G
kainoax,eulogy to uplb anti-du30 students rip 2016-2016
nicaannem,@gambyology https://t.co/hC5Mbnlakv
ernie_manio,UPLB Crowd warmly welcomes Duterte; shouts 'Duterte! Duterte! https://t.co/N5TdWKqeRs
shigurezen,livestream of duterte's visit in UPLB....
patriciabuitre_,uplb streets are empty hahahaha
bae_hany,Nasa UPLB pala si Duterte.... Hindi ako naorient #ALDUBAngPagdalaw
TeyaMCMXCIX,Nasa UPLB na ba si Mayor Du30?
woootiness,"oooh, Duterte's about to make a speech: https://t.co/Hz5CITJXSE"
akosileann,"Dr. Jose Camacho Junior, Dean of graduate School and Chair of ad hoc for UPLB sa Halalan now speaking #DuterteVisitsUPLB"
jhhaaa,"Thank you for the live streaming, uplb itc!"
dleni,UPLB invites Duterte. Live now here.#duterteinuplb https://t.co/eyRpvBD1Rt https://t.co/wss1STHERN
jimmyjgoplay,"Organizer: you cant sit on the aisle bc of security protocols...

UPLB: lol no. 

#DuterteVisitsUPLB"
pinaymomspeaks,"Retweeted Guien Garma (@GuienEPGarma):

Davao City Mayor Rodrigo Duterte arrives at UPLB's DL Umali Hall for a... https://t.co/PwH2AdueUF"
rylavalle,@rylavalle for duterte and cayetano's forum here at uplb
Duterte4Pres16,#PHVoteDuterte ATM at UPLB https://t.co/g0qif298RJ
rylavalle,uy magstream na lang kayo https://t.co/Y2SD1o17s8
trismperez,"Wow, Duterte in UPLB! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
MAILLIWanag,You can still be able to witness the GE Conversation in this site. https://t.co/5QROopIcvW #DuterteVisitsUPLB
akosileann,ang saya! I'm so proud of UPLB ITC! ang linaw ng live stream! <U+263A> #DuterteVisitsUPLB
iamfruitfulvine,"START na! Okay na din ang livestream. Let's watch! https://t.co/dbun4O6ec7

#DuterteVisitsUPLB... https://t.co/LjcB04vH5f"
upsystem,.@NagoyaUniv_info sets up satellite campus at @UPLBOfficial https://t.co/4MBRR65qTx https://t.co/X99W5feVoW
paalexalex,"Hoy UPLB! Kung si Alden ang tinitilian niyo, maiintindihan ko. People.... Funny po."
DuterteFtheWin,https://t.co/aHdTp2xGDj   https://t.co/k9hgZSe2w0
yssangkatha,"Nakakamiss din yung look ng #UPLB.

Now on livestream. *sips coffee*"
donvillas,Mainit ang pagtanggap kay #PHVoteDuterte  UPLB. https://t.co/VQfCYBanFY
GEGNetwork,Davao City Mayor Rodrigo Duterte arrives at UPLB's DL Umali Hall for a forum with students. #DuterteVisitsUPLB
GuienEPGarma,Davao City Mayor Rodrigo Duterte arrives at UPLB's DL Umali Hall for a forum with students. #DuterteVisitsUPLB
akosileann,what a warm welcome from my fellow UPLB Students #DuterteVisitsUPLB
GeraldEmld,"Sige okay pa na maraming nagsusupport kay Duterte sa UPLB kahit spotty, pero kay Cayetano? Really? HAHAHAHAHA"
trishamacas,Too many students here in UPLB DL Umali Auditorium. I almost didn't get in and was denied entrance earlier huhu
vetsuico,@uplbperspective do you have another link for the livestreaming? the one from uplb seems to be not working
twit2millions,"@mabelsacosta Duterte now in UPLB
  #DuterteVisitsUPLB"
jhhaaa,Mayor Duterte &amp; Senator Cayetano @ BIOTECH-UPLB https://t.co/u5eJS0K2cu
siJuanIt0,@AngkelRodyD30 @twit2millions nag down ang livestreaming ng uplb #dutertevisitsuplb di kinaya ng server? hehehe
MySuperKimly,Duterte sa UPLB<ed><U+00A0><U+00BD><ed><U+00B1><U+008A>
dexkolokoy,kainis! si Duterter na sa UPLB
lukewithmikey,@baesicmalum uplb hahahahaha
DeanYsagun,"Friends from Diliman, kung mainit dyan.. Hindi niyo gu-gustuhin na pumunta dito sa UPLB."
feelthephilippi,#DuterteVisitsUPLB Q: Do you think we are ready for ASEAN Integration just like how UPLB is trying to cope with?
jodashjeeocampo,"Yung pila mula sa DL Umali hanggang SEARCA; aba Duterte feels talaga ang UPLB. At dahil dyan, hindi na kami... https://t.co/pdBCHxGOUn"
cutechikkadoll,"Me, when https://t.co/cNt6gCTxHY is down. #DuterteVisitsUPLB #PHVoteDuterte https://t.co/L0AMAfNq4Q"
NheneRosalie,Team Duterte at UPLB#PHVoteDuterte
twit2millions,@PhilippineStar @mikefrialde Please use our HashTag for Mayor Duterte Visit to UPLB ==&gt;  #DuterteVisitsUPLB
twit2millions,@ABSCBNNews @DorisBigornia Please use our HashTag for Mayor Duterte Visit to UPLB ==&gt;  #DuterteVisitsUPLB
twit2millions,@T_oo_A Please use our HashTag for Mayor Duterte Visit to UPLB ==&gt;  #DuterteVisitsUPLB
twit2millions,@mikefrialde Please use our HashTag for Mayor Duterte Visit to UPLB ==&gt;  #DuterteVisitsUPLB
twit2millions,@mikefrialde Please use our HashTag for Mayor Duterte Visit to UPLB ==&gt;  #DuterteVisitsUPLB
NheneRosalie,UPLB #PHVoteDuterte
feelthephilippi,#DuterteVisitsUPLB Q: How do you feel that many students in UPLB now can't tweet their insights because the internet connectivity is slow?
imyourdynne,Duterte at uplb ugj
ABSCBNNews,Duterte and Cayetano meet with farmers at UPLB | via @DorisBigornia https://t.co/gzZ3GrrZMz
uplbperspective,Visit https://t.co/gQEevFuEKe for the livestream of #DuterteVisitsUPLB
palquintos,@gallilleo Students want a real change.. This is it!!! Our hope!! #DuterteVisitsUPLB UPLB loves Duterte!!
OEscauriaga,"University of the Philippines Los Ba�os - Milka Krem, the soon-to-open dairy center in UPLB https://t.co/n0eiJnfnQW"
lloydsdrama,lol duterte sa uplb
meroyalprincess,DUTERTE goes to UPLB.
orangeskyy,@twit2millions live stream po rito :)) https://t.co/OcAja27Zy5
SsanBartZ,"@jimmyjgoplay I am glad na maraming interesadong makinig kay Mayor... Kaabang abang ang mga tanong ng matatalinong UPLB
#DuterteVisitsUPLB"
twit2millions,@cheskafolgo haha kahit ba senior citizen sa UPLB? pumipila? huwaaaw  MeMa lang talaga
mirasga,@RodmyrDatoon @rapplerdotcom as a former UPLB student long lines indicate pro-active interest.
DorisBigornia,Duterte-Cayetano with farmers #rondaserye #UPLB https://t.co/DE0z9pmBmE
carvajal_nancy,Long lines of students waiting to enter Umali hall in UPLB to attend Duterte and Cayetano forum https://t.co/dmj5QNu1Bs
palquintos,#DuterteVisitsUPLB UPLB loves duterte!!! Our Hope!!!! https://t.co/Gpm0tWL1DX
RRD_Philippines,Happening right now at UPLB. #PHVOTEDUTERTE https://t.co/jLccH8i17A
janinemlbnn,Du30 @ uplb
AironFjrd,DU30 invades uplb
Hey_Anica,@khemblinksy @rapplerdotcom Please visit https://t.co/FclvhQ781O :)
rascille,#Duterte2016 campaigns in UPLB. #PHVoteDuterte @DZAR1026 https://t.co/NZKYCp5N8p
4Duterte,"Thank you UPLB for the overwhelming welcome!
#DuterteVisitsUPLB w/ Cayetano
#PHVoteDuterte https://t.co/2Bg0TyY9yf"
rochiecuevas,@eybisidiiii nagcheck ako ng ibang posts. Nasa UPLB-Biotech kani-kanina.
rickrick888,"(cont) UPLB student Steph says she is likely to vote for #PHVoteSantiago. #DuterteVisitsUPLB | via piaranada #PHVote

ﾗ Rappler (rapplerdotﾅ"
hervinerrol,Patiently waiting #DuterteVisitsUPLB @ DL Umali Auditorium UPLB https://t.co/HBprtUAzez
caioman,Did I miss Merry Miriam coming to town? #UPLB #CampaignSortiesDisguisedAsForums
caioman,"First was Berry Binay, then Bonggang Bonggang BongBong, now it's Rowdy Rowdy Rody... #UPLB #CampaignSortiesDisguisedAsForums"
uplbperspective,@JRMHSTT Please visit https://t.co/gQEevFuEKe
cortes_ann,As well follow the #PHVoteDuterte in UPLB here In Twitter to have something may-sense today <ed><U+00A0><U+00BD><ed><U+00B8><U+00AC>
akosibuhagay,@claireberon https://t.co/tCzjdJLxim
GuienEPGarma,"Dear UPLB students,

Prove that you can hold candidates responsible for their own rhetoric, like we did in November.

#DuterteVisitsUPLB"
renzsantosIII,Si Duterte at Cayetano nasa UPLB daw! :&lt; Sa letran din please? :&gt; Foundation week po namin haha!
palquintos,"#DuterteVisitsUPLB Hindi na raw pwede makapasok sa D.L. Umali Hall.. Ito livestream,, https://t.co/OGOiyvwPXH"
twit2millions,@claireberon ito ang link nya #PHVoteDuterte ==&gt;https://t.co/IeNvki0glM
4Duterte,"Duterte Cayetano in UPLB
#PHVoteDuterte
@alanpcayetano https://t.co/xUifxdyXOX"
donvillas,Tigok ang live stream #PHVoteDuterte @UPLB
lexicompili,Listening to https://t.co/wsV9GfBH4O #DuterteVisitsUPLB
RodmyrDatoon,"@rapplerdotcom in UPLB, long does not equal support, most of the time it means trouble for politicians. :)"
JEZzybellaaa,@mchadique https://t.co/Q9EaassnoW
badbacteria,@JunnaNANANANA can you site specifics? Sa UPLB ba maam?
lizaBAErano,"Oh Du30 on UPLB
#DolceAmorePuSo"
badbacteria,@blaancaflor1 Im excited for Duterte. Sanbeda versus UPLB.
kentalabis,Shocks! Si #PHVoteDuterte nasa uplb <ed><U+00A0><U+00BD><ed><U+00B8><U+00BF> sayang wala na ako sa laguna <ed><U+00A0><U+00BD><ed><U+00B8><U+00A9>
rapplerdotcom,UPLB econ student Gian Hernandez says line of people waiting for #PHVoteDuterte longer than line when Binay was speaker #DuterteVisitsUPLB
rickrick888,"UPLB student Steph turned off by #PHVoteDuterte's rumored involvement in extrajudicial killings. (cont) #DuterteVisitsUPLB | via piaranada
ﾅ"
rickrick888,"(cont) UPLB student Gian: #PHVoteDuterte He offers an alternative. #DuterteVisitsUPLB | via piaranada #PHVote

ﾗ Rappler (rapplerdotcom) Maﾅ"
